title,sub-title,author,date,url,section,text
Desconfiança dos investidores com Bolsonaro cresce e dólar supera 4 reais,"Bolsa caiu 3,6% nesta quarta-feira diante das dúvidas cada vez maiores sobre a reforma da previdência e constantes polêmicas do Governo brasileiro",Naiara Galarraga Gortázar,2019-03-28T22:10:53-03:00,https://brasil.elpais.com/brasil/2019/03/28/politica/1553783247_132819.html,politica,As enormes expectativas que acompanharam a sólida vitória eleitoral de
“A gente está vendo a corrosão geral das políticas estabelecidas no MEC”,"Para diretor da Ação Educativa, pautas reais vêm sendo abandonadas por questões ideológicas.",Ciro Barros (Agência Pública),2019-03-28T16:57:15-03:00,https://brasil.elpais.com/brasil/2019/03/28/politica/1553797049_828899.html,politica,"“A gente está vendo a corrosão geral das políticas estabelecidas”. Assim Roberto Catelli, coordenador executivo adjunto da ONG Ação Educativa — que desde 1994 trabalha com educação —, define os primeiros meses da"
"Ferrovia Norte-Sul vale três vezes mais que previsto em edital, aponta estudo",Linha considerada a espinha dorsal do desenvolvimento logístico do país deve ser leiloada nesta quinta-feira com preço menor do que sugerido pela estatal Valec. Há duas empresas interessadas.,Afonso Benites,2019-03-28T12:10:19-03:00,https://brasil.elpais.com/brasil/2019/03/28/politica/1553729926_061804.html,politica,O lance mínimo da
"Rumo, do grupo Cosan, vence disputa pela ferrovia Norte-Sul","Valor da outorga foi de 2,7 bilhões, o que representa um ágio de 100,92%. A quantia, porém, é inferior ao que um estudo apontava que deveria ser pago pela concessão",Afonso Benites,2019-03-28T18:01:06-03:00,https://brasil.elpais.com/brasil/2019/03/28/politica/1553800398_822136.html,politica,O
A jovem deputada que jogou contra as cordas o ministro da Educação e sua “lista de desejos”,"Neófita no Congresso, Tabata Amaral (PDT-SP) sugere que Ricardo Vélez se demita do MEC, o deixa em silêncio, e agrava ainda mais a situação do ministro olavista de Bolsonaro",Marina Rossi,2019-03-29T12:43:17-03:00,https://brasil.elpais.com/brasil/2019/03/28/politica/1553801628_869241.html,politica,"Hoje participei de uma reunião com o Ministro Ricardo Veléz na Comissão de Educação. Insistentemente o questionei sobre quais eram os projetos e metas para melhorar a qualidade da educação no Brasil, mas não obtive resposta."
"A regra de sangue da Operação Condor, a aliança mortífera das ditaduras do Cone Sul","A Operação Condor, aliança entre Brasil, Argentina, Chile, Uruguai, Paraguai e Bolívia, permitiu a troca de informações e livre trânsito para perseguir, torturar e matar opositores da ditadura no continente",Marina Rossi,2019-03-30T10:02:26-03:00,https://brasil.elpais.com/brasil/2019/03/29/politica/1553895462_193096.html,politica,"Na época do sequestro, a Condor era uma aliança secreta formada entre os governos militares do Brasil, Argentina, Bolívia, Paraguai, Chile e Uruguai para perseguir os ativistas contra os regimes militares nesses países. Embora formalizada somente em 25 de novembro de 1975, em Santiago do Chile, essa conexão repressiva já existia desde o início daquela década no continente. O jornalista Luiz Cláudio Cunha, que juntamente com o fotógrafo J.B. Scalco, descobriu o sequestro da família, conta que o caso foi a primeira ação da Condor em território brasileiro. “Até então, não havia nenhuma informação sobre a Condor ter entrado no Brasil”, conta ele, que também é autor do livro"
O passo atrás de Bolsonaro no enfrentamento contra Maia,"Ministro, governador e deputada costuraram a trégua entre presidente e Rodrigo Maia, mas há dúvidas sobre a permanência do armistício",Afonso Benites,2019-03-30T00:08:46-03:00,https://brasil.elpais.com/brasil/2019/03/29/politica/1553892850_850890.html,politica,"Após quase duas semanas de ataques verbais, os presidentes da República,"
"“A sociedade foi Rubens Paiva, não os facínoras que o mataram”",A decisão da juíza que proíbe as Forças Armadas de celebrarem golpe de 1964 contrapõe texto de militares ao de Ulysses Guimarães na Constituinte. Gilmar Mendes rejeita análise do tema,F. M.,2019-03-30T00:11:08-03:00,https://brasil.elpais.com/brasil/2019/03/26/politica/1553638410_317117.html,politica,"A juíza federal Ivani Silva da Luz, de Brasília, proibiu em caráter liminar nesta sexta-feira as Forças Armadas de comemorarem, especialmente com uso de dinheiro público, o 55º aniversário do golpe de Estado que em 1964 instaurou a ditadura militar no Brasil."
Justiça suspende decisão que proibia Forças Armadas de celebrarem golpe de 1964,"Liminar havia sido concedida na sexta-feira a noite, mas menos de 24 horas depois foi derrubada",Marina Rossi,2019-03-30T16:17:59-03:00,https://brasil.elpais.com/brasil/2019/03/30/politica/1553963400_195148.html,politica,Menos de 24 horas depois de a juíza federal Ivani Silva da Luz
Boris Fausto e o golpe de 64: “É impossível ir contra fatos estabelecidos”,Historiador diz que as Forças Armadas nunca reconheceram os aspectos mais negativos do regime militar e que não havia ameaça imediata de implantação de um regime comunista,Thiago Domenici (Agência Pública),2019-03-31T14:13:20-03:00,https://brasil.elpais.com/brasil/2019/03/30/politica/1553984610_147330.html,politica,"O historiador e cientista político Boris Fausto, 88 anos, é autor de estudos clássicos sobre a história do"
"Rosângela, uma das crianças sequestradas por famílias de militares na ditadura","“Roubaram minha identidade”, diz Rosângela Paraná, cuja certidão de nascimento foi forjada pelo avô sargento.",Joana Oliveira,2019-03-30T22:21:08-03:00,https://brasil.elpais.com/brasil/2019/03/29/politica/1553877780_122371.html,politica,"Rosângela Serra Paraná não sabe quantos anos tem ou onde nasceu. Sua certidão de nascimento, registrada em 1967 no Catete (Rio de Janeiro) e datada em 1º de outubro de 1963, é falsa. A maternidade no número 160 da Rua Marquês de Abrantes, no Flamengo, nunca existiu: o prédio pertence à autarquia de previdência dos servidores públicos desde 1958. O documento foi forjado pelo seu ""avô"", o sargento do Exército Arcy de Paiva Paraná, que, assim que ela nasceu, tirou-a dos braços de sua mãe ""prostituta"" e entregou-a ao filho —o também militar Odyr de Paiva Paraná— e à nora, Nilza Serra Paraná, que não podia gerar crianças. É essa a história da sua vida, que ela só foi conhecer em 2013."
"Após acenar com embaixada, Bolsonaro anuncia escritório comercial em Jerusalém",Presidente anuncia espaço para promoção comercial na cidade que tem peso estratégico para o Governo de Benjamin Netanyahu. Israel anuncia “forte apoio” à entrada do Brasil na OCDE,Agências,2019-03-31T17:08:00-03:00,https://brasil.elpais.com/brasil/2019/03/31/politica/1554043546_030838.html,politica,O presidente
Europa busca se reconciliar com seu violento século XX,"Historiadores e antropólogos estudam e comparam como países como Espanha, Polônia e Bósnia encaram seu passado, num ambicioso projeto promovido pela Comissão Europeia",J. A. Aunión,2019-03-11T12:56:54-03:00,https://brasil.elpais.com/brasil/2019/03/10/cultura/1552238060_048323.html,cultura,O que têm em comum os restos de fuzilados depois da
Atos pró e contra ditadura militar terminam em confrontos em São Paulo,"Grupos se atacaram com paus de bandeira, socos e chutes na avenida Paulista neste domingo",Daniel Arroyo e Maria Teresa Cruz (Ponte),2019-04-01T10:32:14-03:00,https://brasil.elpais.com/brasil/2019/04/01/politica/1554118634_296372.html,politica,"“Putas feministas”, gritava descontroladamente a ativista Isabella Trevisani, 22 anos, na calçada da Avenida Paulista, região central de"
Forças curdo-árabes anunciam a queda do último bastião do ISIS na Síria,As milícias da coalizão anunciaram na manhã de sábado o fim do califado do Estado Islâmico depois de quase cinco anos de combates,Natalia Sancha (Enviada especial),2019-03-23T12:11:23-03:00,https://brasil.elpais.com/brasil/2019/03/23/internacional/1553329466_793785.html,internacional,"Em um remoto trecho do deserto sírio, no povoado de Baguz, na fronteira com o Iraque, o califado chegou a seus estertores. Na noite de quinta-feira, enquanto a Casa Branca se apressava em anunciar o fim do"
O amor entre mulheres que sacudiu o Paraguai,O drama ganhou três prêmios em Berlim e provocou um terremoto social em seu país,Gregorio Belinchón,2019-03-09T12:10:23-03:00,https://brasil.elpais.com/brasil/2019/03/07/cultura/1551983387_685960.html,cultura,Depois de
As imagens questionadoras de Harun Farocki,"Artista alemão protagoniza mostra no IMS, em meio a debate sobre o papel da arte como crítica sociopolítica",Joana Oliveira,2019-03-16T11:27:06-03:00,https://brasil.elpais.com/brasil/2019/03/12/cultura/1552400966_974298.html,cultura,"Nenhuma imagem é inocente. E isso é o que compromete, cada vez mais, nossa noção sobre o que são a verdade e a realidade. Essa é a principal mensagem da obra do artista e cineasta alemão"
A feminista Susan Sontag contra Norman Mailer,A carreira da intelectual decolou quando estourava o movimento de libertação das mulheres,Michelle Dean,2019-03-11T23:48:40-03:00,https://brasil.elpais.com/brasil/2019/03/05/cultura/1551786137_303043.html,cultura,É difícil exagerar quanto do que foi escrito sobre
O lado mais sombrio de Dickens,Escritor e jornalista tentou internar sua mulher em um manicômio para poder se relacionar com atriz,Rafa de Miguel,2019-03-10T14:29:37-03:00,https://brasil.elpais.com/brasil/2019/03/01/cultura/1551475506_900644.html,cultura,"O homem mais famoso da era vitoriana, o “poeta da cidade moderna”, o romancista mais importante da história inglesa,"
“Chamar-me de traidor foi uma estratégia muito bem montada para minar minha liderança”,"Ex-presidente conversa sobre seu livro ‘La Batalla por la Paz’, um relato repleto de detalhes, casos e confidências sobre as negociações com as FARC",Javier Moreno,2019-03-23T15:32:43-03:00,https://brasil.elpais.com/brasil/2019/03/22/internacional/1553283034_089639.html,internacional,"A cena, sob qualquer medida, é extraordinária. Um presidente, com dois de seus colaboradores, na biblioteca da Casa de Nariño, sua residência oficial. Fora, a família e os convidados se abraçam e choram. Dentro,"
Matando como em ‘Call of Duty’,"O assassino da Nova Zelândia viola a estética do videogame e cita um de seus maiores astros, o youtuber Pew Die Pie, para transformar sua matança em um espetáculo subjugante para um público jovem",Ángel Luis Sucasas,2019-03-15T17:22:15-03:00,https://brasil.elpais.com/brasil/2019/03/15/cultura/1552651637_070278.html,cultura,"A fronteira entre realidade e ficção está se diluindo, mas temos de nos agarrar a ela para delineá-la com a máxima nitidez. Nesta sexta-feira, amanhecemos horrorizados com um massacre transformado em grande espetáculo transmitido por"
Investigação não encontra provas de conspiração entre Trump e a Rússia,Promotor especial Robert S. Mueller deixa em aberto a possibilidade do presidente ter cometido o crime de obstrução da Justiça durante apuração de ingerência de Moscou nas eleições presidenciais de 2016,Amanda Mars,2019-03-24T18:55:58-03:00,https://brasil.elpais.com/brasil/2019/03/24/internacional/1553448280_352863.html,internacional,O promotor especial
O incerto futuro dos militares que desertaram na Venezuela,"Mais de mil venezuelanos que desertaram há um mês aguardam em casas, hotéis e albergues sem esconder seu mal-estar quanto às condições em que vivem",S.T,2019-03-24T19:09:33-03:00,https://brasil.elpais.com/brasil/2019/03/23/internacional/1553364735_261696.html,internacional,"Foram recebidos por três presidentes estrangeiros como heróis da pátria que tinham conseguido romper o cerco chavista em 23 de fevereiro, ao fugir para a"
Dois aviões russos chegam à Venezuela com uma centena de militares,Aterrissagem das aeronaves ocorre depois de Maduro dizer que havia reforçado sua segurança,Jacobo García,2019-03-24T20:48:02-03:00,https://brasil.elpais.com/brasil/2019/03/24/internacional/1553458236_783517.html,internacional,"A chegada de dois aviões militares russos ao aeroporto de Maiquetía, em Caracas, neste sábado à tarde, desencadeou todos os tipos de suspeitas sobre os papéis que irá desempenhar a centena de militares que viajava neles. De acordo com fontes da Embaixada da Rússia na Venezuela, citadas pela agência de notícias oficial russa Sputnik, as aeronaves transportavam equipamentos e pessoal para atender a vários acordos militares entre os dois países. ""Eles não têm nada de misterioso"", disseram as fontes referindo-se aos voos, que chegaram à"
Steve Bannon: “Bolsonaro e Salvini são os melhores representantes do movimento nacional-populista”,"Em entrevista ao EL PAÍS, o ideólogo da extrema direita diz que o vice-primeiro-ministro italiano e o premiê húngaro Viktor Orbán são os políticos mais importantes da Europa atualmente",Daniel Verdú,2019-03-25T12:19:12-03:00,https://brasil.elpais.com/brasil/2019/03/24/internacional/1553454729_290547.html,internacional,"(Norfolk, 1953), ex-assessor estratégico do presidente dos Estados Unidos,"
"“Não há água potável, eletricidade, escolas nem saúde; é uma autêntica catástrofe”","Luis López, médico espanhol em Moçambique, alerta para o risco de surtos de cólera e tifo nas próximas semanas, depois da passagem do ciclone Idai",José Naranjo,2019-03-26T17:47:54-03:00,https://brasil.elpais.com/brasil/2019/03/22/internacional/1553267887_733612.html,internacional,"“Esta é uma catástrofe humanitária completa, e a cifra oficial de mortos vai aumentar à medida que pudermos acessar as zonas aonde não se consegue chegar agora.” Assim o médico espanhol Luis López Rivero resume as consequências da passagem do"
"Battisti admite participação em assassinatos, mas se recusa a delatar","""Por anos denunciei a proteção dada ao terrorista"", celebrou Bolsonaro no Twitter",Lorena Pacho,2019-03-25T17:23:42-03:00,https://brasil.elpais.com/brasil/2019/03/25/internacional/1553541637_936838.html,internacional,O ex-terrorista italiano de extrema esquerda
Trump reconhece soberania de Israel sobre as Colinas de Golã,"“Isso é algo que deveria ter sido feito há muitas décadas”, afirmou o presidente dos EUA na Casa Branca.",Pablo Guimón,2019-03-25T16:27:56-03:00,https://brasil.elpais.com/brasil/2019/03/25/internacional/1553531080_402312.html,internacional,"O presidente dos Estados Unidos,"
